time(UTC),ID,lat,lon,depth[m_local],east_shift[m_local],north_shift[m_local],magnitude,P_residual[s],S_residual[s],n_pairs,ndiff_p,ndiff_s
2024-04-03T20:06:00.852,89,38.50015,-112.88388,2511.85,917.15,-335.56,-0.31,0.09,0.08,2922,13013,30756
2024-04-03T20:06:58.549,90,38.50114,-112.88308,2367.85,987.19,-225.34,-0.89,0.09,0.07,2902,11536,27418
2024-04-03T20:10:45.605,91,38.50107,-112.88292,2344.85,1001.14,-233.14,-0.89,0.1,0.08,2880,11428,29043
2024-04-03T20:11:30.884,92,38.50155,-112.8829,2375.85,1002.97,-179.67,-0.42,0.09,0.08,2886,12194,32881
2024-04-03T20:11:51.427,93,38.50223,-112.88324,2493.85,973.42,-103.92,-0.39,0.09,0.08,2934,15947,30246
2024-04-03T20:13:36.864,94,38.5008,-112.883,2334.85,994.1,-263.21,-0.77,0.12,0.08,2832,10806,28071
2024-04-03T20:18:11.454,95,38.49991,-112.8842,2486.85,889.16,-362.26,-0.76,0.13,0.08,2875,7739,27655
2024-04-03T20:20:02.884,96,38.50221,-112.88307,2475.85,988.24,-106.14,-0.76,0.1,0.08,2951,11248,30102
2024-04-03T20:25:41.007,97,38.50128,-112.88295,2358.85,998.56,-209.75,-0.71,0.19,0.08,2892,11335,32425
2024-04-03T20:26:35.101,98,38.50206,-112.88328,2509.85,969.9,-122.86,-0.89,0.08,0.07,2885,12686,29871
2024-04-03T20:35:43.628,99,38.5022,-112.88324,2499.85,973.41,-107.26,-0.45,0.08,0.08,2886,13353,29569
2024-04-03T20:36:31.077,100,38.50158,-112.88287,2402.85,1005.6,-176.33,-0.89,0.07,0.08,2863,7304,31224
2024-04-03T20:36:50.882,101,38.5008,-112.883,2342.85,994.1,-263.21,-0.35,0.11,0.08,2870,11892,31629
2024-04-03T20:43:22.933,102,38.5007,-112.88303,2366.85,991.46,-274.34,-0.92,0.12,0.08,2897,11068,31668
2024-04-03T20:47:11.884,103,38.50077,-112.88295,2362.85,998.45,-266.55,-0.78,0.11,0.08,2878,10907,30847
2024-04-03T20:51:34.235,104,38.501,-112.88295,2359.85,998.5,-240.93,-0.48,0.1,0.08,2936,12249,33441
2024-04-03T20:51:57.970,105,38.49984,-112.88414,2490.85,894.38,-370.05,-0.82,0.15,0.08,2877,9486,28278
2024-04-03T20:52:20.651,106,38.50092,-112.88295,2362.85,998.49,-249.84,-0.01,0.1,0.08,2938,11037,33605
2024-04-03T20:53:16.442,107,38.50014,-112.88314,2357.85,981.73,-336.68,-0.91,0.11,0.07,2895,10741,28953
2024-04-03T20:57:10.598,108,38.50225,-112.88338,2505.85,961.2,-101.69,-0.9,0.11,0.07,2862,12191,25151
2024-04-03T20:58:31.515,109,38.50083,-112.88295,2362.85,998.47,-259.86,-0.39,0.1,0.08,2925,11870,33489
2024-04-03T21:00:42.070,110,38.50287,-112.88289,2479.85,1004.02,-32.59,-0.68,0.09,0.08,2951,13842,33415
2024-04-03T21:07:15.004,111,38.50223,-112.88324,2494.85,973.42,-103.92,-0.52,0.09,0.08,2898,14587,30209
2024-04-03T21:15:37.809,112,38.50257,-112.88282,2443.85,1010.1,-66.03,-0.26,0.1,0.08,2921,11641,30569
2024-04-03T21:20:44.422,113,38.50063,-112.88387,2480.85,918.14,-282.13,-0.92,0.16,0.08,2850,8158,30176
2024-04-03T21:21:14.769,114,38.5005,-112.88411,2543.85,897.17,-296.59,-0.59,0.09,0.07,2848,10674,28399
2024-04-03T21:32:16.009,115,38.5008,-112.883,2338.85,994.1,-263.21,-0.64,0.1,0.08,2874,10644,31275
2024-04-03T21:33:55.562,116,38.50142,-112.88281,2335.85,1010.8,-194.15,-0.58,0.09,0.07,2882,12349,31368
2024-04-03T21:34:45.399,117,38.50153,-112.88293,2369.85,1000.35,-181.9,-0.43,0.1,0.08,2870,10361,32098
2024-04-03T21:38:40.395,118,38.50104,-112.88292,2337.85,1001.13,-236.48,-0.99,0.12,0.07,2868,10493,28703
2024-04-03T21:38:58.758,119,38.49977,-112.88363,2496.85,938.87,-377.85,-0.65,0.07,0.08,2860,7469,30213
2024-04-03T21:55:52.249,120,38.50145,-112.88302,2389.85,992.48,-190.81,-0.94,0.13,0.08,2866,11133,27568
2024-04-03T21:56:31.664,121,38.49905,-112.88418,2529.85,890.67,-457.92,-0.57,0.13,0.08,2856,9458,30350
2024-04-03T21:59:54.869,122,38.49997,-112.88336,2411.85,962.49,-355.6,-0.91,0.11,0.07,2876,10338,29206
2024-04-03T22:05:06.691,123,38.50059,-112.88299,2367.85,994.92,-286.59,-0.7,0.1,0.08,2885,8774,32564
2024-04-03T22:11:20.660,124,38.49984,-112.88326,2356.85,971.18,-370.07,-0.96,0.12,0.08,2892,15431,25829
2024-04-03T22:11:38.042,125,38.4999,-112.88318,2354.85,978.18,-363.39,-0.68,0.12,0.08,2883,15320,27663
2024-04-03T22:24:05.701,126,38.50082,-112.8839,2522.85,915.57,-260.97,-0.97,0.12,0.07,2849,10829,26163
2024-04-03T22:30:52.509,127,38.50128,-112.88295,2358.85,998.56,-209.75,-0.92,0.1,0.07,2927,11284,32137
2024-04-03T22:33:04.830,128,38.5008,-112.883,2342.85,994.1,-263.21,-0.72,0.1,0.08,2860,12037,30373
2024-04-03T22:35:03.884,129,38.50028,-112.883,2322.85,993.98,-321.1,-0.71,0.11,0.08,2898,15517,28731
2024-04-03T22:35:44.109,130,38.49983,-112.88337,2433.85,961.58,-371.18,-0.93,0.1,0.08,2858,10112,28108
2024-04-03T22:36:41.148,131,38.50014,-112.88314,2357.85,981.73,-336.68,-0.14,0.11,0.08,2881,11004,29637
2024-04-03T22:42:14.776,132,38.49978,-112.88326,2356.85,971.16,-376.75,-0.93,0.12,0.07,2882,12898,25290
2024-04-03T22:46:51.747,133,38.50004,-112.8833,2411.85,967.74,-347.81,-0.4,0.1,0.08,2887,11067,32061
2024-04-03T22:56:37.186,134,38.49968,-112.88331,2373.85,966.77,-387.87,0.1,0.11,0.08,2860,12044,27777
2024-04-03T22:58:16.420,135,38.50145,-112.88299,2378.85,995.1,-190.81,-0.48,0.1,0.08,2894,10000,31731
2024-04-03T22:59:15.738,136,38.4999,-112.8842,2495.85,889.16,-363.37,-0.81,0.14,0.08,2818,7504,28739
2024-04-03T23:10:46.262,137,38.49977,-112.88358,2483.85,943.24,-377.85,-0.98,0.18,0.07,2781,8666,21625
2024-04-03T23:16:24.101,138,38.50135,-112.88281,2342.85,1010.79,-201.95,-0.95,0.1,0.07,2860,8702,27484
2024-04-03T23:18:57.336,139,38.50023,-112.88304,2341.85,990.48,-326.67,-0.99,0.1,0.07,2918,12508,27934
2024-04-03T23:34:30.986,140,38.5001,-112.8833,2401.85,967.76,-341.13,-0.8,0.1,0.07,2879,9911,29742
2024-04-03T23:42:50.912,141,38.50153,-112.88344,2579.85,955.85,-181.9,-0.95,0.11,0.07,2871,13372,26484
2024-04-03T23:45:41.118,142,38.50257,-112.88282,2443.85,1010.1,-66.03,-0.27,0.1,0.08,2978,12445,32808
2024-04-03T23:49:50.337,143,38.4998,-112.88337,2433.85,961.57,-374.52,-0.08,0.11,0.08,2904,11729,31363
2024-04-04T00:08:41.640,144,38.50263,-112.88272,2431.85,1018.83,-59.34,-0.07,0.1,0.08,2963,12150,34524
2024-04-04T00:30:44.061,145,38.50084,-112.88295,2362.85,998.47,-258.75,-0.65,0.11,0.07,2891,10955,31410
2024-04-04T00:31:00.297,146,38.50063,-112.8839,2480.85,915.53,-282.13,-0.7,0.09,0.08,2864,9666,31104
2024-04-04T00:40:31.519,147,38.49977,-112.88359,2483.85,942.36,-377.85,-0.66,0.1,0.08,2887,10567,32785
2024-04-04T00:43:01.991,148,38.50031,-112.88395,2477.85,911.08,-317.75,-0.6,0.12,0.08,2905,9161,31025
2024-04-04T00:44:59.668,149,38.49962,-112.88384,2465.85,920.5,-394.53,-0.41,0.11,0.07,2912,16769,26364
2024-04-04T00:47:49.070,150,38.50145,-112.88299,2376.85,995.1,-190.81,-0.85,0.09,0.08,2870,9604,29069
2024-04-04T00:50:55.645,151,38.49966,-112.88339,2403.85,959.79,-390.1,-0.2,0.09,0.08,2879,10148,30773
2024-04-04T00:54:36.386,152,38.501,-112.88295,2359.85,998.5,-240.93,-0.61,0.12,0.08,2927,11241,31638
2024-04-04T00:56:29.927,153,38.49986,-112.88359,2421.85,942.39,-367.84,-0.86,0.1,0.07,2848,13839,24022
2024-04-04T00:57:35.339,154,38.49993,-112.88376,2494.85,927.57,-360.04,-0.88,0.1,0.08,2819,10852,19624
2024-04-04T00:57:44.568,155,38.50048,-112.88399,2499.85,907.64,-298.82,-0.76,0.1,0.06,2825,11252,22926
2024-04-04T00:58:10.772,156,38.49988,-112.88379,2508.85,924.94,-365.61,-0.71,0.1,0.07,2861,12761,24376
2024-04-04T00:59:32.556,157,38.50074,-112.88296,2362.85,997.58,-269.89,-0.87,0.22,0.08,2854,10305,29354
2024-04-04T01:00:34.980,158,38.50063,-112.88395,2480.85,911.16,-282.12,-0.87,0.12,0.08,2838,6183,30503
2024-04-04T01:02:05.260,159,38.50287,-112.88289,2479.85,1004.02,-32.59,-0.9,0.11,0.08,2891,10103,30796
2024-04-04T01:02:13.734,160,38.49976,-112.88339,2415.85,959.81,-378.97,-0.68,0.1,0.08,2891,9836,30495
2024-04-04T01:03:32.502,161,38.5013,-112.88311,2394.85,984.6,-207.52,-0.6,0.11,0.08,2922,10269,30006
2024-04-04T01:03:44.650,162,38.50281,-112.88289,2460.85,1004.01,-39.28,-0.93,0.11,0.07,2871,11437,27418
2024-04-04T01:04:36.955,163,38.49962,-112.88331,2388.85,966.76,-394.55,-0.84,0.3,0.07,2832,8361,26771
2024-04-04T01:05:39.498,164,38.50143,-112.88299,2373.85,995.1,-193.04,-0.92,0.12,0.07,2853,9163,27807
2024-04-04T01:06:37.947,165,38.50085,-112.88295,2362.85,998.47,-257.64,0.16,0.11,0.08,2923,11967,34741
2024-04-04T01:07:44.841,166,38.50073,-112.88336,2411.85,962.67,-271,-0.79,0.15,0.08,2874,8934,31163
2024-04-04T01:08:27.590,167,38.50161,-112.88297,2351.85,996.88,-172.99,-0.76,0.13,0.08,2841,8777,25863
2024-04-04T01:08:56.107,168,38.50101,-112.88402,2535.85,905.14,-239.82,-0.97,0.11,0.08,2881,14973,29870
2024-04-04T01:10:09.095,169,38.50017,-112.88296,2334.85,997.44,-333.35,-0.36,0.1,0.08,2904,14322,30075
2024-04-04T01:14:54.665,170,38.49983,-112.88422,2488.85,887.4,-371.16,-0.98,0.22,0.07,2770,8246,20494
2024-04-04T01:15:06.841,171,38.50031,-112.88395,2477.85,911.08,-317.75,-0.83,0.13,0.07,2777,6981,23368
2024-04-04T01:15:46.401,172,38.50011,-112.88314,2357.85,981.72,-340.02,-0.5,0.13,0.08,2889,10575,29230
2024-04-04T01:16:57.695,173,38.50133,-112.88296,2350.85,997.7,-204.18,-0.9,0.11,0.07,2874,10456,29015
2024-04-04T01:19:31.558,174,38.50284,-112.88289,2469.85,1004.01,-35.94,-0.51,0.1,0.08,2870,13164,28695
2024-04-04T01:19:49.127,175,38.5014,-112.88281,2337.85,1010.8,-196.38,-0.66,0.09,0.07,2856,9964,26976
2024-04-04T01:21:07.033,176,38.50087,-112.88387,2496.85,918.2,-255.41,-0.45,0.09,0.07,2856,10656,30204
2024-04-04T01:25:17.513,177,38.50223,-112.88324,2501.85,973.42,-103.92,-0.62,0.09,0.08,2891,11878,27726
2024-04-04T01:25:23.702,178,38.50063,-112.88398,2480.85,908.54,-282.12,-0.57,0.07,0.08,2850,8155,31447
2024-04-04T01:25:34.693,179,38.49998,-112.88394,2464.85,911.87,-354.47,-0.83,0.11,0.07,2737,6555,21538
2024-04-04T01:26:44.512,180,38.50117,-112.88307,2377.85,988.07,-222,-0.99,0.14,0.06,2843,7372,23264
2024-04-04T01:27:25.498,181,38.49994,-112.8843,2514.85,880.44,-358.91,-0.99,0.12,0.07,2792,6321,24951
2024-04-04T01:27:43.408,182,38.5022,-112.8833,2509.85,968.18,-107.26,-0.98,0.07,0.07,2862,11793,22638
2024-04-04T01:28:37.559,183,38.50212,-112.88325,2514.85,972.53,-116.17,-0.87,0.08,0.07,2862,10917,27041
2024-04-04T01:28:44.968,184,38.50031,-112.88395,2477.85,911.08,-317.75,-0.51,0.1,0.08,2913,9309,31527
2024-04-04T01:29:31.031,185,38.49989,-112.88394,2465.85,911.85,-364.49,-0.89,0.11,0.08,2842,8113,26016
2024-04-04T01:29:49.973,186,38.50059,-112.88299,2368.85,994.92,-286.59,-0.5,0.12,0.08,2863,7376,32420
2024-04-04T01:31:33.079,187,38.50019,-112.883,2334.85,993.96,-331.12,-0.92,0.09,0.08,2902,12683,28914
2024-04-04T01:33:49.029,188,38.5013,-112.88311,2394.85,984.6,-207.52,-0.91,0.11,0.07,2844,7353,26772
2024-04-04T01:34:38.914,189,38.50063,-112.88393,2480.85,912.91,-282.13,-0.89,0.08,0.07,2834,7611,27893
2024-04-04T01:35:17.324,190,38.50145,-112.88299,2378.85,995.1,-190.81,-0.52,0.1,0.08,2898,10499,31165
2024-04-04T01:35:32.542,191,38.5014,-112.88299,2376.85,995.09,-196.38,0.04,0.1,0.08,2931,12616,33264
2024-04-04T01:35:48.856,192,38.50302,-112.88289,2469.85,1004.03,-15.88,-0.44,0.1,0.08,2926,14100,32117
2024-04-04T01:36:11.447,193,38.50073,-112.88336,2411.85,962.67,-271,-0.96,0.14,0.08,2827,7556,26115
2024-04-04T01:39:52.880,194,38.49975,-112.88425,2503.85,884.76,-380.06,-0.99,0.13,0.07,2740,6260,19914
2024-04-04T01:41:30.924,195,38.5007,-112.88399,2523.85,907.69,-274.33,-0.03,0.1,0.08,2877,11547,30722
2024-04-04T01:41:47.769,196,38.50078,-112.88297,2365.85,996.71,-265.43,-0.92,0.11,0.08,2807,7795,23638
2024-04-04T01:41:51.648,197,38.50058,-112.88391,2499.85,914.64,-287.69,-0.05,0.08,0.08,2878,10994,30076
2024-04-04T01:42:44.030,198,38.50306,-112.88289,2483.85,1004.03,-11.42,-0.02,0.1,0.08,2942,14467,34405
2024-04-04T01:45:15.959,199,38.50063,-112.88398,2480.85,908.54,-282.12,-0.78,0.08,0.07,2851,8770,30488
2024-04-04T01:45:22.892,200,38.50031,-112.88395,2477.85,911.08,-317.75,-0.76,0.13,0.08,2868,9270,27009
2024-04-04T01:47:31.409,201,38.50257,-112.88282,2443.85,1010.1,-66.03,-0.53,0.1,0.08,2950,11136,31834
2024-04-04T01:50:02.618,202,38.50161,-112.88297,2351.85,996.88,-172.99,-0.78,0.13,0.37,2871,9346,29355
2024-04-04T01:51:23.193,203,38.50015,-112.88312,2333.85,983.48,-335.57,-0.96,0.11,0.07,2880,13693,24635
2024-04-04T01:52:04.153,204,38.50015,-112.88396,2507.85,910.17,-335.55,-0.53,0.12,0.08,2913,13278,30007
2024-04-04T01:53:29.881,205,38.50092,-112.88295,2362.85,998.49,-249.84,-0.19,0.11,0.08,2934,11014,34268
2024-04-04T01:54:33.540,206,38.50145,-112.88299,2373.85,995.1,-190.81,-0.3,0.12,0.08,2919,11252,33918
2024-04-04T01:55:52.967,207,38.49988,-112.8842,2491.85,889.16,-365.59,-0.95,0.11,0.08,2867,6399,26977
2024-04-04T01:56:08.271,208,38.50299,-112.88252,2404.85,1036.3,-19.22,-0.97,0.11,0.07,2885,8479,26002
2024-04-04T01:58:20.736,209,38.49984,-112.8842,2486.85,889.15,-370.04,-0.75,0.16,0.08,2849,7322,29215
2024-04-04T02:00:05.953,210,38.50087,-112.88387,2496.85,918.2,-255.41,-0.9,0.09,0.07,2856,9926,28501
2024-04-04T02:00:18.737,211,38.50298,-112.88262,2418.85,1027.58,-20.33,-0.27,0.1,0.08,2919,10028,31700
2024-04-04T02:00:46.838,212,38.50118,-112.88404,2525.85,903.43,-220.89,-0.98,0.1,0.07,2874,13478,25602
2024-04-04T02:01:43.974,213,38.50031,-112.88395,2477.85,911.08,-317.75,-0.93,0.12,0.08,2874,8961,25501
2024-04-04T02:02:23.702,214,38.50126,-112.88312,2396.85,983.72,-211.98,-1,0.13,0.08,2691,6991,20696
2024-04-04T02:02:55.690,215,38.50063,-112.88401,2473.85,905.93,-282.12,-0.93,0.08,0.07,2854,7733,29904
